train_corpus;test_corpus;features;true_index;pred_index;count;norm_value
mysMEEI;mysMEEI;combined_15;0;1;7.62;0.21166666666666648
mysMEEI;mysMEEI;combined_15;1;0;3.26;0.058214285714285705
mysMEEI;mysMEEI;combined_15;1;1;52.74;0.9417857142857139
mysMEEI;mysMEEI;sep_15_raw;0;0;29.81;0.8280555555555559
mysMEEI;mysMEEI;sep_15_raw;0;1;6.19;0.1719444444444444
mysMEEI;mysMEEI;sep_15_raw;1;0;2.79;0.049821428571428544
mysMEEI;mysMEEI;sep_15_raw;1;1;53.21;0.9501785714285705
mysMEEI;mysMEEI;sep_15_a01;0;0;29.57;0.8213888888888894
mysMEEI;mysMEEI;sep_15_a01;0;1;6.43;0.17861111111111097
mysMEEI;mysMEEI;sep_15_a01;1;0;3.16;0.056428571428571425
mysMEEI;mysMEEI;sep_15_a01;1;1;52.84;0.9435714285714281
mysMEEI;mysMEEI;sep_15_a02;0;0;29.19;0.810833333333334
mysMEEI;mysMEEI;sep_15_a02;0;1;6.81;0.18916666666666654
mysMEEI;mysMEEI;sep_15_a02;1;0;3.03;0.05410714285714285
mysMEEI;mysMEEI;sep_15_a02;1;1;52.97;0.9458928571428562
myUSP;myUSP;acoustic;0;0;0.7;0.046666666666666703
myUSP;myUSP;acoustic;0;1;14.3;0.9533333333333331
myUSP;myUSP;acoustic;1;0;2.15;0.0671875
myUSP;myUSP;acoustic;1;1;29.85;0.9328125
myUSP;myUSP;acoustic_balanced_weights;0;0;8.4;0.5600000000000002
myUSP;myUSP;acoustic_balanced_weights;0;1;6.6;0.4399999999999997
myUSP;myUSP;acoustic_balanced_weights;1;0;10.28;0.32125
myUSP;myUSP;acoustic_balanced_weights;1;1;21.72;0.67875
myUSP;myUSP;spectral_paper;0;0;14.24;0.9493333333333333
myUSP;myUSP;spectral_paper;0;1;0.76;0.05066666666666671
myUSP;myUSP;spectral_paper;1;0;0.54;0.016875
myUSP;myUSP;spectral_paper;1;1;31.46;0.983125
myUSP;myUSP;combined_paper;0;0;13.6;0.9066666666666663
myUSP;myUSP;combined_paper;0;1;1.4;0.09333333333333331
myUSP;myUSP;combined_paper;1;0;1.11;0.0346875
myUSP;myUSP;combined_paper;1;1;30.89;0.9653125
myUSP;myUSP;spectral_02;0;0;13.26;0.8839999999999992
myUSP;myUSP;spectral_02;0;1;1.74;0.11599999999999998
myUSP;myUSP;spectral_02;1;0;4.96;0.155
myUSP;myUSP;spectral_02;1;1;27.04;0.845
myUSP;myUSP;combined_02;0;0;13.14;0.8759999999999991
myUSP;myUSP;combined_02;0;1;1.86;0.12399999999999987
myUSP;myUSP;combined_02;1;0;4.7;0.146875
myUSP;myUSP;combined_02;1;1;27.3;0.853125
myUSP;myUSP;sep_02_raw;0;0;12.09;0.8059999999999993
myUSP;myUSP;sep_02_raw;0;1;2.91;0.19399999999999987
myUSP;myUSP;sep_02_raw;1;0;3.73;0.1165625
myUSP;myUSP;sep_02_raw;1;1;28.27;0.8834375
myUSP;myUSP;sep_02_a01;0;0;12.69;0.8459999999999992
myUSP;myUSP;sep_02_a01;0;1;2.31;0.15399999999999986
myUSP;myUSP;sep_02_a01;1;0;3.96;0.12375
myUSP;myUSP;sep_02_a01;1;1;28.04;0.87625
myUSP;myUSP;sep_02_a02;0;0;12.29;0.8193333333333325
myUSP;myUSP;sep_02_a02;0;1;2.71;0.18066666666666653
myUSP;myUSP;sep_02_a02;1;0;3.1;0.096875
myUSP;myUSP;sep_02_a02;1;1;28.9;0.903125
myUSP;myUSP;spectral_03;0;0;12.82;0.8546666666666657
myUSP;myUSP;spectral_03;0;1;2.18;0.14533333333333318
myUSP;myUSP;spectral_03;1;0;2.82;0.088125
myUSP;myUSP;spectral_03;1;1;29.18;0.911875
myUSP;myUSP;combined_03;0;0;13.19;0.8793333333333326
myUSP;myUSP;combined_03;0;1;1.81;0.12066666666666663
myUSP;myUSP;combined_03;1;0;2.34;0.073125
myUSP;myUSP;combined_03;1;1;29.66;0.926875
myUSP;myUSP;sep_03_raw;0;0;11.14;0.7426666666666665
myUSP;myUSP;sep_03_raw;0;1;3.86;0.2573333333333331
myUSP;myUSP;sep_03_raw;1;0;1.38;0.043125
myUSP;myUSP;sep_03_raw;1;1;30.62;0.956875
myUSP;myUSP;sep_03_a01;0;0;12.02;0.8013333333333325
myUSP;myUSP;sep_03_a01;0;1;2.98;0.1986666666666665
myUSP;myUSP;sep_03_a01;1;0;1.8;0.05625
myUSP;myUSP;sep_03_a01;1;1;30.2;0.94375
myUSP;myUSP;sep_03_a02;0;0;12.44;0.8293333333333321
myUSP;myUSP;sep_03_a02;0;1;2.56;0.17066666666666652
myUSP;myUSP;sep_03_a02;1;0;1.38;0.043125
myUSP;myUSP;sep_03_a02;1;1;30.62;0.956875
myUSP;myUSP;spectral_04;0;0;12.5;0.8333333333333325
myUSP;myUSP;spectral_04;0;1;2.5;0.16666666666666655
myUSP;myUSP;spectral_04;1;0;1.91;0.0596875
myUSP;myUSP;spectral_04;1;1;30.09;0.9403125
myUSP;myUSP;combined_04;0;0;12.7;0.8466666666666655
myUSP;myUSP;combined_04;0;1;2.3;0.15333333333333315
myUSP;myUSP;combined_04;1;0;0.88;0.0275
myUSP;myUSP;combined_04;1;1;31.12;0.9725
myUSP;myUSP;sep_04_raw;0;0;10.5;0.7000000000000002
myUSP;myUSP;sep_04_raw;0;1;4.5;0.29999999999999966
myUSP;myUSP;sep_04_raw;1;0;0.62;0.019375
myUSP;myUSP;sep_04_raw;1;1;31.38;0.980625
myUSP;myUSP;sep_04_a01;0;0;11.41;0.760666666666666
myUSP;myUSP;sep_04_a01;0;1;3.59;0.23933333333333312
myUSP;myUSP;sep_04_a01;1;0;1.09;0.0340625
myUSP;myUSP;sep_04_a01;1;1;30.91;0.9659375
myUSP;myUSP;sep_04_a02;0;0;11.66;0.7773333333333328
myUSP;myUSP;sep_04_a02;0;1;3.34;0.22266666666666646
myUSP;myUSP;sep_04_a02;1;0;1.22;0.038125
myUSP;myUSP;sep_04_a02;1;1;30.78;0.961875
myUSP;myUSP;spectral_05;0;0;11.08;0.7386666666666665
myUSP;myUSP;spectral_05;0;1;3.92;0.2613333333333331
myUSP;myUSP;spectral_05;1;0;1.39;0.0434375
myUSP;myUSP;spectral_05;1;1;30.61;0.9565625
myUSP;myUSP;combined_05;0;0;12.11;0.8073333333333323
myUSP;myUSP;combined_05;0;1;2.89;0.1926666666666664
myUSP;myUSP;combined_05;1;0;0.96;0.03
